,from_stop_I,to_stop_I,dep_time_ut,route_type,trip_I,seq,route_I,lat_from,lon_from,name_from,lat_to,lon_to,name_to,d,n_vehicles,route_I_counts,dep_Year,dep_Month,dep_Week,dep_Day,dep_Dayofweek,dep_Dayofyear,dep_Is_month_end,dep_Is_month_start,dep_Is_quarter_end,dep_Is_quarter_start,dep_Is_year_end,dep_Is_year_start,dep_Hour,dep_Minute,dep_Elapsed,dep_date,prediction,scheduled_date
487707,357,111,1462135680,2,190039,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,48,1462135680,9327,240.0,240.0
491254,220,111,1462140780,2,186730,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,22,13,1462140780,9412,240.0,240.0
487709,357,111,1462135680,2,189895,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,48,1462135680,9327,240.0,240.0
484801,220,111,1462131780,2,186346,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,19,43,1462131780,9262,240.0,240.0
492117,357,111,1462142280,2,190129,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,22,38,1462142280,9437,240.0,240.0
490315,357,111,1462139280,2,189952,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,21,48,1462139280,9387,240.0,240.0
485939,357,111,1462133280,2,189849,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,8,1462133280,9287,240.0,240.0
484816,220,111,1462131780,2,186455,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,19,43,1462131780,9262,240.0,240.0
489731,220,111,1462138380,2,186667,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,33,1462138380,9372,240.0,240.0
482158,357,111,1462128480,2,189827,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,18,48,1462128480,9207,240.0,240.0
485310,220,111,1462132380,2,186365,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,19,53,1462132380,9272,240.0,240.0
488112,357,111,1462136280,2,189957,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,58,1462136280,9337,240.0,240.0
482419,220,111,1462128780,2,186364,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,18,53,1462128780,9212,240.0,240.0
483603,357,111,1462130280,2,189782,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,19,18,1462130280,9237,240.0,240.0
485263,220,111,1462132380,2,186477,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,19,53,1462132380,9272,240.0,240.0
485036,357,111,1462132080,2,189894,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,19,48,1462132080,9267,240.0,240.0
483414,220,111,1462129980,2,186403,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,19,13,1462129980,9232,240.0,240.0
484612,357,111,1462131480,2,189879,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,19,38,1462131480,9257,240.0,240.0
485714,220,111,1462132980,2,186507,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,20,3,1462132980,9282,240.0,240.0
490714,357,111,1462139880,2,190054,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,21,58,1462139880,9397,240.0,240.0
484613,357,111,1462131480,2,189820,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,19,38,1462131480,9257,240.0,240.0
490743,357,111,1462139880,2,189958,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,21,58,1462139880,9397,240.0,240.0
488622,357,111,1462136880,2,190076,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,21,8,1462136880,9347,240.0,240.0
487501,220,111,1462135380,2,186600,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,20,43,1462135380,9322,240.0,240.0
488360,220,111,1462136580,2,186713,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,3,1462136580,9342,240.0,240.0
487056,220,111,1462134780,2,186438,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,20,33,1462134780,9312,240.0,240.0
492571,220,111,1462143180,2,186703,3,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,22,53,1462143180,9452,240.0,240.0
487257,357,111,1462135080,2,189939,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,38,1462135080,9317,240.0,240.0
487244,357,111,1462135080,2,189880,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,38,1462135080,9317,240.0,240.0
488137,357,111,1462136280,2,190053,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,58,1462136280,9337,240.0,240.0
489497,357,111,1462138080,2,189929,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,21,28,1462138080,9367,240.0,240.0
487018,220,111,1462134780,2,186578,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,20,33,1462134780,9312,240.0,240.0
489715,220,111,1462138380,2,186770,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,33,1462138380,9372,240.0,240.0
490146,220,111,1462138980,2,186677,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,43,1462138980,9382,240.0,240.0
492812,220,111,1462143780,2,186716,3,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,23,3,1462143780,9462,240.0,240.0
491579,220,111,1462141380,2,186751,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,22,23,1462141380,9422,240.0,240.0
489703,220,111,1462138380,2,186579,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,33,1462138380,9372,240.0,240.0
